produk,tanggal,harga,qty,ln_P,ln_Q
L,2021-01-02,1750.0,220,7.4673710669175595,5.393627546352362
L,2021-01-04,1642.857142857143,140,7.4041921652960285,4.941642422609304
L,2021-01-05,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-01-06,1750.0,172,7.4673710669175595,5.147494476813453
L,2021-01-07,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-01-08,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-01-09,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-01-11,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-01-12,1750.0,60,7.4673710669175595,4.0943445622221
L,2021-01-13,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-01-14,1750.0,20,7.4673710669175595,2.995732273553991
L,2021-01-15,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-01-16,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-01-19,1750.0,220,7.4673710669175595,5.393627546352362
L,2021-01-20,1750.0,160,7.4673710669175595,5.075173815233827
L,2021-01-21,1750.0,20,7.4673710669175595,2.995732273553991
L,2021-01-22,1750.0,72,7.4673710669175595,4.276666119016055
L,2021-01-23,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-01-25,1750.0,220,7.4673710669175595,5.393627546352362
L,2021-01-26,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-01-27,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-01-28,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-01-29,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-01-30,1750.0,160,7.4673710669175595,5.075173815233827
L,2021-02-01,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-02-02,1750.0,40,7.4673710669175595,3.6888794541139363
L,2021-02-03,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-02-04,1750.0,80,7.4673710669175595,4.382026634673881
L,2021-02-05,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-02-06,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-02-08,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-02-09,1750.0,80,7.4673710669175595,4.382026634673881
L,2021-02-10,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-02-11,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-02-12,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-02-13,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-02-15,1750.0,180,7.4673710669175595,5.19295685089021
L,2021-02-16,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-02-17,1750.0,160,7.4673710669175595,5.075173815233827
L,2021-02-18,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-02-20,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-02-22,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-02-23,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-02-24,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-02-25,1750.0,80,7.4673710669175595,4.382026634673881
L,2021-02-26,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-02-27,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-03-01,1750.0,210,7.4673710669175595,5.3471075307174685
L,2021-03-02,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-03-03,1750.0,180,7.4673710669175595,5.19295685089021
L,2021-03-04,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-03-05,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-03-06,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-03-08,1750.0,230,7.4673710669175595,5.438079308923196
L,2021-03-09,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-03-10,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-03-11,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-03-12,1750.0,70,7.4673710669175595,4.248495242049359
L,2021-03-13,1750.0,80,7.4673710669175595,4.382026634673881
L,2021-03-14,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-03-16,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-03-17,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-03-18,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-03-19,1750.0,180,7.4673710669175595,5.19295685089021
L,2021-03-20,1750.0,230,7.4673710669175595,5.438079308923196
L,2021-03-21,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-03-22,1750.0,190,7.4673710669175595,5.247024072160486
L,2021-03-23,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-03-25,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-03-26,1750.0,90,7.4673710669175595,4.499809670330265
L,2021-03-27,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-03-29,1750.0,160,7.4673710669175595,5.075173815233827
L,2021-03-30,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-03-31,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-04-01,1750.0,110,7.4673710669175595,4.700480365792417
L,2021-04-05,1750.0,160,7.4673710669175595,5.075173815233827
L,2021-04-06,1750.0,200,7.4673710669175595,5.298317366548036
L,2021-04-07,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-04-08,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-04-09,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-04-10,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-04-12,1750.0,200,7.4673710669175595,5.298317366548036
L,2021-04-20,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-04-23,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-04-24,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-04-26,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-04-27,1750.0,140,7.4673710669175595,4.941642422609304
L,2021-04-28,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-04-29,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-04-30,1750.0,170,7.4673710669175595,5.135798437050262
L,2021-05-01,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-05-03,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-05-04,1750.0,20,7.4673710669175595,2.995732273553991
L,2021-05-05,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-05-06,1750.0,100,7.4673710669175595,4.605170185988092
L,2021-05-07,1750.0,130,7.4673710669175595,4.867534450455582
L,2021-05-08,1750.0,120,7.4673710669175595,4.787491742782046
L,2021-05-10,1750.0,150,7.4673710669175595,5.0106352940962555
L,2021-05-11,1750.0,230,7.4673710669175595,5.438079308923196
L,2021-05-15,1750.0,14,7.4673710669175595,2.6390573296152584
