produk,tanggal,qty,t,ln_Q
L,2021-01-02,220,1,5.393627546352362
L,2021-01-04,140,2,4.941642422609304
L,2021-01-05,190,3,5.247024072160486
L,2021-01-06,172,4,5.147494476813453
L,2021-01-07,90,5,4.499809670330265
L,2021-01-08,70,6,4.248495242049359
L,2021-01-09,140,7,4.941642422609304
L,2021-01-11,190,8,5.247024072160486
L,2021-01-12,60,9,4.0943445622221
L,2021-01-13,170,10,5.135798437050262
L,2021-01-14,20,11,2.995732273553991
L,2021-01-15,110,12,4.700480365792417
L,2021-01-16,120,13,4.787491742782046
L,2021-01-19,220,14,5.393627546352362
L,2021-01-20,160,15,5.075173815233827
L,2021-01-21,20,16,2.995732273553991
L,2021-01-22,72,17,4.276666119016055
L,2021-01-23,130,18,4.867534450455582
L,2021-01-25,220,19,5.393627546352362
L,2021-01-26,190,20,5.247024072160486
L,2021-01-27,120,21,4.787491742782046
L,2021-01-28,70,22,4.248495242049359
L,2021-01-29,110,23,4.700480365792417
L,2021-01-30,160,24,5.075173815233827
L,2021-02-01,130,25,4.867534450455582
L,2021-02-02,40,26,3.6888794541139363
L,2021-02-03,120,27,4.787491742782046
L,2021-02-04,80,28,4.382026634673881
L,2021-02-05,90,29,4.499809670330265
L,2021-02-06,70,30,4.248495242049359
L,2021-02-08,110,31,4.700480365792417
L,2021-02-09,80,32,4.382026634673881
L,2021-02-10,120,33,4.787491742782046
L,2021-02-11,110,34,4.700480365792417
L,2021-02-12,90,35,4.499809670330265
L,2021-02-13,90,36,4.499809670330265
L,2021-02-15,180,37,5.19295685089021
L,2021-02-16,110,38,4.700480365792417
L,2021-02-17,160,39,5.075173815233827
L,2021-02-18,90,40,4.499809670330265
L,2021-02-20,150,41,5.0106352940962555
L,2021-02-22,150,42,5.0106352940962555
L,2021-02-23,90,43,4.499809670330265
L,2021-02-24,140,44,4.941642422609304
L,2021-02-25,80,45,4.382026634673881
L,2021-02-26,120,46,4.787491742782046
L,2021-02-27,170,47,5.135798437050262
L,2021-03-01,210,48,5.3471075307174685
L,2021-03-02,120,49,4.787491742782046
L,2021-03-03,180,50,5.19295685089021
L,2021-03-04,170,51,5.135798437050262
L,2021-03-05,110,52,4.700480365792417
L,2021-03-06,90,53,4.499809670330265
L,2021-03-08,230,54,5.438079308923196
L,2021-03-09,120,55,4.787491742782046
L,2021-03-10,170,56,5.135798437050262
L,2021-03-11,70,57,4.248495242049359
L,2021-03-12,70,58,4.248495242049359
L,2021-03-13,80,59,4.382026634673881
L,2021-03-14,170,60,5.135798437050262
L,2021-03-16,140,61,4.941642422609304
L,2021-03-17,130,62,4.867534450455582
L,2021-03-18,170,63,5.135798437050262
L,2021-03-19,180,64,5.19295685089021
L,2021-03-20,230,65,5.438079308923196
L,2021-03-21,190,66,5.247024072160486
L,2021-03-22,190,67,5.247024072160486
L,2021-03-23,170,68,5.135798437050262
L,2021-03-25,120,69,4.787491742782046
L,2021-03-26,90,70,4.499809670330265
L,2021-03-27,150,71,5.0106352940962555
L,2021-03-29,160,72,5.075173815233827
L,2021-03-30,110,73,4.700480365792417
L,2021-03-31,100,74,4.605170185988092
L,2021-04-01,110,75,4.700480365792417
L,2021-04-05,160,76,5.075173815233827
L,2021-04-06,200,77,5.298317366548036
L,2021-04-07,100,78,4.605170185988092
L,2021-04-08,170,79,5.135798437050262
L,2021-04-09,150,80,5.0106352940962555
L,2021-04-10,120,81,4.787491742782046
L,2021-04-12,200,82,5.298317366548036
L,2021-04-20,140,83,4.941642422609304
L,2021-04-23,100,84,4.605170185988092
L,2021-04-24,120,85,4.787491742782046
L,2021-04-26,140,86,4.941642422609304
L,2021-04-27,140,87,4.941642422609304
L,2021-04-28,130,88,4.867534450455582
L,2021-04-29,120,89,4.787491742782046
L,2021-04-30,170,90,5.135798437050262
L,2021-05-01,100,91,4.605170185988092
L,2021-05-03,120,92,4.787491742782046
L,2021-05-04,20,93,2.995732273553991
L,2021-05-05,130,94,4.867534450455582
L,2021-05-06,100,95,4.605170185988092
L,2021-05-07,130,96,4.867534450455582
L,2021-05-08,120,97,4.787491742782046
L,2021-05-10,150,98,5.0106352940962555
L,2021-05-11,230,99,5.438079308923196
L,2021-05-15,14,100,2.6390573296152584
L,2021-05-17,180,101,5.19295685089021
L,2021-05-18,130,102,4.867534450455582
L,2021-05-29,290,103,5.66988092298052
L,2021-05-30,110,104,4.700480365792417
L,2021-05-31,190,105,5.247024072160486
L,2021-06-01,60,106,4.0943445622221
L,2021-06-02,90,107,4.499809670330265
L,2021-06-03,200,108,5.298317366548036
L,2021-06-04,70,109,4.248495242049359
L,2021-06-05,70,110,4.248495242049359
L,2021-06-07,110,111,4.700480365792417
L,2021-06-08,120,112,4.787491742782046
L,2021-06-09,160,113,5.075173815233827
L,2021-06-10,120,114,4.787491742782046
L,2021-06-11,100,115,4.605170185988092
L,2021-06-12,60,116,4.0943445622221
L,2021-06-13,220,117,5.393627546352362
L,2021-06-15,110,118,4.700480365792417
L,2021-06-16,140,119,4.941642422609304
L,2021-06-17,140,120,4.941642422609304
L,2021-06-18,200,121,5.298317366548036
L,2021-06-19,50,122,3.912023005428146
L,2021-06-21,110,123,4.700480365792417
L,2021-06-22,190,124,5.247024072160486
L,2021-06-23,150,125,5.0106352940962555
L,2021-06-24,100,126,4.605170185988092
L,2021-06-25,90,127,4.499809670330265
L,2021-06-26,30,128,3.4011973816621555
L,2021-06-28,130,129,4.867534450455582
L,2021-06-29,50,130,3.912023005428146
L,2021-07-01,200,131,5.298317366548036
L,2021-07-02,110,132,4.700480365792417
L,2021-07-03,110,133,4.700480365792417
L,2021-07-05,90,134,4.499809670330265
L,2021-07-06,110,135,4.700480365792417
L,2021-07-07,120,136,4.787491742782046
L,2021-07-08,120,137,4.787491742782046
L,2021-07-09,80,138,4.382026634673881
L,2021-07-10,100,139,4.605170185988092
L,2021-07-12,50,140,3.912023005428146
L,2021-07-13,120,141,4.787491742782046
L,2021-07-14,100,142,4.605170185988092
L,2021-07-15,140,143,4.941642422609304
L,2021-07-16,60,144,4.0943445622221
L,2021-07-17,110,145,4.700480365792417
L,2021-07-19,110,146,4.700480365792417
L,2021-07-21,150,147,5.0106352940962555
L,2021-07-22,130,148,4.867534450455582
L,2021-07-23,90,149,4.499809670330265
L,2021-07-24,30,150,3.4011973816621555
L,2021-07-26,120,151,4.787491742782046
L,2021-07-27,110,152,4.700480365792417
L,2021-07-28,120,153,4.787491742782046
L,2021-07-29,140,154,4.941642422609304
L,2021-08-02,140,155,4.941642422609304
L,2021-08-03,70,156,4.248495242049359
L,2021-08-04,80,157,4.382026634673881
L,2021-08-05,130,158,4.867534450455582
L,2021-08-06,120,159,4.787491742782046
L,2021-08-07,120,160,4.787491742782046
L,2021-08-09,90,161,4.499809670330265
L,2021-08-10,90,162,4.499809670330265
L,2021-08-11,210,163,5.3471075307174685
L,2021-08-12,90,164,4.499809670330265
L,2021-08-13,180,165,5.19295685089021
L,2021-08-14,60,166,4.0943445622221
L,2021-08-16,100,167,4.605170185988092
L,2021-08-17,110,168,4.700480365792417
L,2021-08-18,100,169,4.605170185988092
L,2021-08-19,120,170,4.787491742782046
L,2021-08-20,90,171,4.499809670330265
L,2021-08-21,70,172,4.248495242049359
L,2021-08-23,60,173,4.0943445622221
L,2021-08-24,130,174,4.867534450455582
L,2021-08-25,110,175,4.700480365792417
L,2021-08-26,70,176,4.248495242049359
L,2021-08-27,80,177,4.382026634673881
L,2021-08-28,120,178,4.787491742782046
L,2021-08-30,50,179,3.912023005428146
L,2021-08-31,110,180,4.700480365792417
L,2021-09-01,140,181,4.941642422609304
L,2021-09-02,40,182,3.6888794541139363
L,2021-09-03,120,183,4.787491742782046
L,2021-09-04,60,184,4.0943445622221
L,2021-09-06,140,185,4.941642422609304
L,2021-09-07,60,186,4.0943445622221
L,2021-09-08,150,187,5.0106352940962555
L,2021-09-09,90,188,4.499809670330265
L,2021-09-10,90,189,4.499809670330265
L,2021-09-11,100,190,4.605170185988092
L,2021-09-13,20,191,2.995732273553991
L,2021-09-15,240,192,5.480638923341991
L,2021-09-16,140,193,4.941642422609304
L,2021-09-17,100,194,4.605170185988092
L,2021-09-18,40,195,3.6888794541139363
L,2021-09-20,100,196,4.605170185988092
L,2021-09-21,140,197,4.941642422609304
L,2021-09-22,70,198,4.248495242049359
L,2021-09-23,110,199,4.700480365792417
L,2021-09-24,110,200,4.700480365792417
L,2021-09-25,110,201,4.700480365792417
L,2021-09-27,40,202,3.6888794541139363
L,2021-09-28,130,203,4.867534450455582
L,2021-09-30,160,204,5.075173815233827
L,2021-10-01,190,205,5.247024072160486
L,2021-10-02,80,206,4.382026634673881
L,2021-10-04,140,207,4.941642422609304
L,2021-10-05,130,208,4.867534450455582
L,2021-10-06,70,209,4.248495242049359
L,2021-10-07,160,210,5.075173815233827
L,2021-10-08,100,211,4.605170185988092
L,2021-10-09,50,212,3.912023005428146
L,2021-10-11,150,213,5.0106352940962555
L,2021-10-12,110,214,4.700480365792417
L,2021-10-13,80,215,4.382026634673881
L,2021-10-14,200,216,5.298317366548036
L,2021-10-15,110,217,4.700480365792417
L,2021-10-16,50,218,3.912023005428146
L,2021-10-18,100,219,4.605170185988092
L,2021-10-20,120,220,4.787491742782046
L,2021-10-21,60,221,4.0943445622221
L,2021-10-22,180,222,5.19295685089021
L,2021-10-23,170,223,5.135798437050262
