tanggal,produk,qty,total_harga,harga_per_unit
2021-01-01,S,0,0,0.0
2021-01-01,M,0,0,0.0
2021-01-01,L,0,0,0.0
2021-01-01,XL,0,0,0.0
2021-01-01,XXL,0,0,0.0
2021-01-02,S,40,66000,1650.0
2021-01-02,M,120,210000,1750.0
2021-01-02,L,220,385000,1750.0
2021-01-02,XL,110,247500,2250.0
2021-01-02,XXL,90,238500,2650.0
2021-01-03,S,0,0,0.0
2021-01-03,M,0,0,0.0
2021-01-03,L,0,0,0.0
2021-01-03,XL,0,0,0.0
2021-01-03,XXL,0,0,0.0
2021-01-04,S,10,16500,1650.0
2021-01-04,M,60,105000,1750.0
2021-01-04,L,140,230000,1642.857142857143
2021-01-04,XL,100,230000,2300.0
2021-01-04,XXL,30,79500,2650.0
2021-01-05,S,30,49500,1650.0
2021-01-05,M,60,105000,1750.0
2021-01-05,L,190,332500,1750.0
2021-01-05,XL,50,115000,2300.0
2021-01-05,XXL,20,53000,2650.0
2021-01-06,S,10,16500,1650.0
2021-01-06,M,60,105000,1750.0
2021-01-06,L,172,301000,1750.0
2021-01-06,XL,30,69000,2300.0
2021-01-06,XXL,0,0,0.0
2021-01-07,S,20,33000,1650.0
2021-01-07,M,40,70000,1750.0
2021-01-07,L,90,157500,1750.0
2021-01-07,XL,33,78000,2363.6363636363635
2021-01-07,XXL,0,0,0.0
2021-01-08,S,20,33000,1650.0
2021-01-08,M,40,70000,1750.0
2021-01-08,L,70,122500,1750.0
2021-01-08,XL,20,46000,2300.0
2021-01-08,XXL,0,0,0.0
2021-01-09,S,10,16500,1650.0
2021-01-09,M,50,87500,1750.0
2021-01-09,L,140,245000,1750.0
2021-01-09,XL,70,161000,2300.0
2021-01-09,XXL,0,0,0.0
2021-01-10,S,0,0,0.0
2021-01-10,M,0,0,0.0
2021-01-10,L,0,0,0.0
2021-01-10,XL,0,0,0.0
2021-01-10,XXL,0,0,0.0
2021-01-11,S,0,0,0.0
2021-01-11,M,70,122500,1750.0
2021-01-11,L,190,332500,1750.0
2021-01-11,XL,130,299000,2300.0
2021-01-11,XXL,0,0,0.0
2021-01-12,S,30,49500,1650.0
2021-01-12,M,30,52500,1750.0
2021-01-12,L,60,105000,1750.0
2021-01-12,XL,80,184000,2300.0
2021-01-12,XXL,80,208000,2600.0
2021-01-13,S,0,0,0.0
2021-01-13,M,20,35000,1750.0
2021-01-13,L,170,297500,1750.0
2021-01-13,XL,73,167900,2300.0
2021-01-13,XXL,10,26500,2650.0
2021-01-14,S,50,82500,1650.0
2021-01-14,M,30,52500,1750.0
2021-01-14,L,20,35000,1750.0
2021-01-14,XL,70,161000,2300.0
2021-01-14,XXL,30,79500,2650.0
2021-01-15,S,10,16500,1650.0
